epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,time_seconds
1,0.305297,0.9093,0.090579,0.9733,1.000000e-04,21.33
2,0.049553,0.9861,0.066325,0.9794,1.000000e-04,21.31
3,0.015018,0.9976,0.061748,0.9815,1.000000e-04,21.42
